years,months,BETA0,BETA1,BETA2,BETA3
0,0,3.5719004274066988,2.4096792587230675,-3.934858250129007,22.889039146374127
0,0,3.57205403777626,2.4097828875136735,-3.9350274695801812,22.890023494575775
0,0,3.5721796024074193,2.409867596058462,-3.9351657934318345,22.89082812332073
0,0,3.572277387876806,2.409933564195641,-3.9352735153487184,22.891454740854513
0,0,3.5723476587499934,2.4099809704067194,-3.935350926780175,22.89190504253563
0,0,3.5723906775814998,2.4100099918165045,-3.935398316960138,22.892180710835568
0,0,3.5724067050265123,2.4100208042684756,-3.9354159730302096,22.892283416054756
0,0,3.5723959997291614,2.4100135822494106,-3.9354041799165835,22.892214815606582
0,0,3.5723588183225226,2.4099884988893874,-3.9353632203300446,22.891976554017447
0,0,3.572090955846303,2.409807793221283,-3.935068139071238,22.8902600686818
0,0,3.569579450721547,2.408113478967485,-3.9323014279433006,22.874166132054736
0,0,3.5691974900961694,2.407855800284855,-3.9318806544787166,22.871718496157737
0,0,3.571950398681833,2.409712970397755,-3.9349132992235236,22.889359366519116
0,0,3.5717846199717678,2.409601132588359,-3.9347306749487845,22.8882970425654
0,0,3.5715938650649264,2.4094724453105756,-3.934520536526901,22.887074669036576
0,0,3.5713783771873433,2.409327072649811,-3.9342831518992663,22.885693804545586
0,0,3.57113839777745,2.4091651774855163,-3.934018787038019,22.884155996250254
0,0,3.5708741665977985,2.408986921566558,-3.933727706069128,22.88246278056923
0,0,3.5705859212881577,2.40879246520973,-3.93341017078007,22.880615680318193
0,0,3.5702738977006923,2.40858196752587,-3.933066440989074,22.878616206857714
0,0,3.5699383301234118,2.408355586570604,-3.932696774791269,22.8764658615251
0,0,3.568792676725574,2.407582704658982,-3.9314347060925776,22.869124417942274
0,0,3.5635367064332653,2.404036916399975,-3.9256446516138928,22.835443717089095
0,0,3.5628951077681412,2.4036040804273062,-3.924937857051154,22.831332298738904
0,0,3.5683652377473494,2.4072943453216684,-3.930963833003007,22.866385352925175
0,0,3.5679153981763028,2.406990874072642,-3.930468283089637,22.863502743020298
0,0,3.5674433815748143,2.406672441731793,-3.9299483026320874,22.86047802083423
0,0,3.56694940938248,2.406339197686936,-3.9294041355714864,22.857312605370574
0,0,3.5664337016981946,2.4059912904214222,-3.928836024372026,22.854007907041602
0,0,3.56589647649807,2.405628866986527,-3.92824420915941,22.850565322656628
0,0,3.565337950529239,2.405252073604432,-3.927628928705481,22.846986241149555
0,0,3.564758338416055,2.404861055065245,-3.926990419443594,22.84327203785134
0,0,3.5641578532187164,2.404455955103865,-3.9263289160840102,22.83942407806969
0,0,3.5622332653676274,2.4031575876043747,-3.92420876169061,22.827091156825244
0,0,3.55454604940313,2.3979716298086746,-3.915740411081971,22.77783082868509
0,0,3.5536747962007267,2.3973838640482357,-3.914780625690104,22.772247764693944
0,0,3.5615513855884013,2.402697577143743,-3.9234575928578237,22.822721613699105
0,0,3.5608496732229877,2.40222418720276,-3.9226845761552642,22.818224981688257
0,0,3.560128331611481,2.401737554958937,-3.9218899355853813,22.813602563813166
0,0,3.5593875621946447,2.401237816308455,-3.921073893058295,22.80885565092324
0,0,3.5586275648490884,2.4007251060922856,-3.9202366687610297,22.803985523844638
0,0,3.557848538222443,2.4001995583223037,-3.9193784815267474,22.798993455528134
0,0,3.5570506788395586,2.399661305578313,-3.9184995478501263,22.793880705321545
0,0,3.5562341819963055,2.39911047961102,-3.9176000828719797,22.78864852469727
0,0,3.5553992415361253,2.398547211191294,-3.916680300133106,22.783298155820436
0,0,3.5527856710798926,2.3967840415152097,-3.913801152329014,22.76655017594241
0,0,3.542951981882793,2.390150027668361,-3.9029682151145506,22.703535066322146
0,0,3.541878316464688,2.389425710364059,-3.90178544943724,22.696654927783975
0,0,3.5518788614040018,2.3961722886088754,-3.9128021974009606,22.760739263070786
0,0,3.550954553419173,2.3955487309747867,-3.911783966077417,22.75481621955991
0,0,3.5500129314721955,2.3949134929771705,-3.9107466614375292,22.74878222671955
0,0,3.549054178792605,2.394266698226531,-3.9096904853296586,22.74263845870002
0,0,3.5480784768223326,2.393608469127416,-3.9086156376329155,22.73638607819652
0,0,3.547086005662604,2.3929389271799053,-3.9075223167494695,22.730026239312892
0,0,3.546076944185667,2.3922581930549858,-3.90641071972763,22.72356008827758
0,0,3.54505146936444,2.3915663861423146,-3.9052810415233767,22.71698875914797
0,0,3.5440097571663123,2.3908636251531985,-3.9041334759849833,22.71031337953793
0,0,3.5407889325220996,2.3886907890120805,-3.9005853680012734,22.68967406361542
0,0,3.52906732931239,2.3807831486095945,-3.8876726768353693,22.61456104180028
0,0,3.527815972136088,2.379938956702717,-3.8862941632936003,22.60654223949137
0,0,3.5396840001009737,2.3879453783290034,-3.899368158131776,22.68259356348524
0,0,3.5385636880182805,2.3871895922023105,-3.898134005800014,22.675414509186812
0,0,3.5374281637502833,2.3864235436150163,-3.896883095500313,22.66813797392216
0,0,3.536277593209093,2.385647344494926,-3.895615610003903,22.660765020870084
0,0,3.535112141189566,2.38486110601612,-3.8943317308512317,22.653296706049915
0,0,3.5339319710341304,2.3840649383728403,-3.8930316379827294,22.645734076173706
0,0,3.53273724474451,2.3832589508548625,-3.891715509861887,22.638078169362167
0,0,3.5315281229817233,2.3824432518474934,-3.8903835234752546,22.63033001514465
0,0,3.5303047651778128,2.3816179489069462,-3.8890358544555244,22.62249063517513
0,0,3.5265508493940123,2.379085478255242,-3.884900485401326,22.59843522627618
0,0,3.5131758132430853,2.3700623971664556,-3.870166348094352,22.51272686674472
0,0,3.5117691714932016,2.3691134470156787,-3.8686167707735404,22.503712987793627
0,0,3.5252721149319375,2.3782228170547692,-3.8834918126373226,22.5902409880114
0,0,3.5239799220370123,2.3773510765120376,-3.882068313864977,22.581960506974003
0,0,3.5226744222087794,2.37647035883183,-3.880630155978422,22.573594753985837
0,0,3.5213557659412538,2.3755807655405774,-3.879177504764087,22.565144693425243
0,0,3.520024102499472,2.3746823973356186,-3.877710524654539,22.556611281795156
0,0,3.5186795796960415,2.373775353934451,-3.87622937848233,22.547995466291233
0,0,3.5173223444497657,2.3728597344515943,-3.8747342280953827,22.539298188381558
0,0,3.5159525423387468,2.3719356370971014,-3.873225233864684,22.530520380942885
0,0,3.514570317488655,2.371003159101186,-3.8717025545612,22.521662967544657
0,0,3.5103505331246416,2.368156403693273,-3.867053977800465,22.494622233498415
0,0,3.4955344808042996,2.3581611827463096,-3.850732395804584,22.399679720836815
0,0,3.4939928432415313,2.357121161576915,-3.8490341051030783,22.389800777332965
0,0,3.5089200375706127,2.367191361263817,-3.8654781227768042,22.48545549735884
0,0,3.5074778234822457,2.366218413264284,-3.8638893584426923,22.476213667863032
0,0,3.506024028058241,2.3652376522518073,-3.862287835938243,22.466897624191844
0,0,3.504558787491772,2.3642491701051696,-3.860673705295867,22.45750823908261
0,0,3.5030822368587597,2.3632530579494317,-3.8590471153171926,22.44804637811322
0,0,3.5015945101178696,2.362249406155932,-3.8574082135730645,22.438512899702104
0,0,3.50009573999879,2.3612383042669123,-3.8557571462804665,22.428908654392295
0,0,3.498586058113956,2.360219841070894,-3.8540940584256007,22.41923448556737
0,0,3.4970655952937246,2.3591941048287923,-3.8524190941331207,22.409491231599304
0,0,2.106933348896246,1.4213816128220815,-2.3210288861258817,13.501406571039418
0,0,2.187830964910719,1.4759568484290126,-2.4101468943849826,14.019805316311267
0,0,2.1972098563902254,1.4822840461567472,-2.4204788197186335,14.079906043805478
0,0,2.1137652774309714,1.4259905757038267,-2.3285550394735197,13.545186145205795
0,0,2.120915769395159,1.430814448184583,-2.336432126998659,13.591007100691655
0,0,2.128369280332384,1.4358427436466534,-2.344643024698587,13.63876982730941
0,0,2.136110801285712,1.4410653367315756,-2.3531711984847377,13.688378146397367
0,0,2.144125842485802,1.4464724523357722,-2.3620006862132614,13.739739206291707
0,0,2.152400416145205,1.4520546540032235,-2.3711160787309757,13.792763372070915
0,0,2.1609210205933693,1.457802833222607,-2.380502502398247,13.847364123891538
0,0,2.1696746242999176,1.463708198649063,-2.3901456014888,13.903457954608006
